id;date;type;primary_category;secondary_category;amount;due;title;description;tags
1;2022-11-12T10:09:40;Expense;approach Polarised;Facilitator;99553;95136;B2B;Operations orchestrate Estates;cross-platform Garden
2;2022-11-12T01:50:49;Saving;Engineer Fresh mission-critical;Executive Operations;59276;83747;Strategist up;Re-contextualized multi-state withdrawal;scalable Course
3;2022-11-11T10:55:12;Saving;grey end-to-end optimize;Luxembourg;18132;84427;Facilitator deliver Forest;innovate;enable
4;2022-11-11T15:14:40;Expense;synthesizing;olive overriding;1085;72319;full-range Dynamic generation;Account Cambridgeshire;Forward Berkshire Carolina
5;2022-11-12T05:15:36;Expense;mesh;e-business Gardens Planner;69647;51839;Indonesia;Lek Franc calculate;Account Salad
6;2022-11-11T18:29:27;Saving;deposit Ameliorated Belgium;Electronics Pakistan;87982;42234;Chair;lime;magnetic Operations
7;2022-11-11T22:41:59;Expense;synergies digital;International Mexico software;47825;16831;program state;hard Sahara Functionality;Rubber invoice
8;2022-11-12T01:09:35;Saving;Gloves Morocco;Consultant;34708;2852;visualize application initiatives;Alaska;Bypass Haiti cross-platform
9;2022-11-11T11:50:11;Saving;Borders Solutions;Soft copy override;99664;44610;Parkways budgetary;back-end Pants 1080p;database
10;2022-11-11T16:11:10;Expense;Oregon capability Sleek;parse COM feed;75964;70534;Central array back-end;Berkshire Austria array;matrix index
